sample,sampleLong,community,type,sampling_year,sampling,units,sample_name,aluminumRaw,aluminum,aluminumIdentifier,arsenicRaw,arsenic,arsenicIdentifier,bariumRaw,barium,bariumIdentifier,berylliumRaw,beryllium,berylliumIdentifier,cadmiumRaw,cadmium,cadmiumIdentifier,chromiumRaw,chromium,chromiumIdentifier,manganeseRaw,manganese,manganeseIdentifier,nickelRaw,nickel,nickelIdentifier,leadRaw,lead,leadIdentifier,zincRaw,zinc,zincIdentifier,copperRaw,copper,copperIdentifier
C-K-45,,Cochise,Irrigation Water,2015-2016,,&mu;g/L,,2.84,,,2.3,,,246.28,,,0.02,,,0.35,,,0.08,,,0.63,,,1.75,,,0.12,,,98.03,,,24.16,,
C-K-48,,Cochise,Irrigation Water,2015-2016,,&mu;g/L,,0.62,,,3.22,,,49.46,,,0.04,,,0,,,0.72,,,0.38,,,1.5,,,0.03,,,4.24,,,0.43,,
C-K-38,,Cochise,Irrigation Water,2015-2016,,&mu;g/L,,0.72,,,2.87,,,286.86,,,0.02,,,0,,,0.1,,,2.54,,,2.4,,,0.07,,,89.67,,,3.22,,
C-K-36,,Cochise,Irrigation Water,2015-2016,,&mu;g/L,,0.84,,,3.38,,,352.52,,,0.02,,,0,,,0.11,,,0.22,,,2.45,,,0.03,,,7.24,,,6.46,,
C-K-31,,Cochise,Irrigation Water,2015-2016,,&mu;g/L,,0.6,,,3.21,,,349.19,,,0.02,,,0.02,,,0.11,,,0.09,,,2.4,,,0.03,,,18.23,,,10.75,,
C-K-56,,Cochise,Irrigation Water,2015-2016,,&mu;g/L,,0.24,,,3.96,,,21.56,,,0.03,,,0,,,8.79,,,0.92,,,2.86,,,0.02,,,4.49,,,1.25,,
C-K-32,,Cochise,Irrigation Water,2015-2016,,&mu;g/L,,4.87,,,2.52,,,241.59,,,0.02,,,0.08,,,0.13,,,18.84,,,1.87,,,0.23,,,50.07,,,7.12,,
C-K-44,,Cochise,Irrigation Water,2015-2016,,&mu;g/L,,0.68,,,2.78,,,349.52,,,0.03,,,0.01,,,0.13,,,1.01,,,2.55,,,0.21,,,788,,,5.1,,
C-K-21,,Cochise,Irrigation Water,2015-2016,,&mu;g/L,,0.77,,,3.29,,,340.52,,,0.03,,,0,,,0.14,,,0.04,,,2.36,,,0.06,,,20.43,,,1.26,,
C-K-16,,Cochise,Irrigation Water,2015-2016,,&mu;g/L,,0.63,,,0.27,,,18.46,,,0.03,,,0.01,,,0.04,,,0.16,,,2.06,,,0.1,,,188.93,,,158.83,,
